FID;objectid;rhi_sg;rhi_cd;rhi_nm;rhi_ar_km2;rhi_ar_ha;rhi_gm_are;rhi_gm_per;rhi_ve;rhi_cheia2;rhi_seca20;precip_mn;PET_mn;AET_mn;wyield_mn;wyield_vol
0;1;J;12;URUGUAI;174127.780000000000000;17412778.000000000000000;174127780212.000000000000000;3383863.989000000100000;2014;Sim;Não;1697.010455512260000;572.573966032829960;548.226684554300050;1149.036977878440000;18.497305033580002
1;2;C;3;ATLÂNTICO NORDESTE OCIDENTAL;268906.010000000010000;26890601.609999999000000;268906015339.000000000000000;5943115.023660000400000;2014;Não;Sim;1656.365415313510100;654.665874925570050;607.209480411620010;1044.853260642720000;23.635300483559998
2;4;D;9;PARNAÍBA;331808.820000000010000;33180882.719999999000000;331808826927.000000000000000;3763766.031330000100000;2014;Não;Sim;1036.065573315210000;569.394120955230050;503.633594062570010;532.431416257869960;14.282531053660000
3;5;E;4;ATLÂNTICO NORDESTE ORIENTAL;285281.210000000020000;28528121.800000001000000;285281216504.000000000000000;3627051.675590000100000;2014;Não;Sim;890.559027970469970;853.173817423599980;622.350599827570020;267.264220129919980;6.248613058370000
4;7;F;10;SÃO FRANCISCO;636137.069999999950000;63613707.719999999000000;636137076379.000000000000000;7056413.207170000300000;2014;Não;Sim;961.410301648539980;762.413094806000000;600.155983597440010;361.252204405430010;19.184421073999999
5;8;G;2;ATLÂNTICO LESTE;386068.130000000000000;38606813.840000004000000;386068139805.000000000000000;4059355.580230000400000;2014;Sim;Sim;957.652420978969990;633.119240662059950;520.014848261209980;435.735766200820020;14.120823616330000
6;11;H;5;ATLÂNTICO SUDESTE;213316.010000000010000;21331601.289999999000000;213316011581.000000000000000;4717656.783460000500000;2014;Sim;Sim;1368.698621372529900;532.481916174230040;503.465785952350020;864.462404980900030;16.127404849000001
7;20;I;6;ATLÂNTICO SUL;186079.859999999990000;18607986.039999999000000;186079859937.000000000000000;5782153.639360000400000;2014;Sim;Sim;1537.844044733559900;544.725305309289980;521.659433249359950;1016.753760626610000;17.581514285350000
8;29;L;8;PARANÁ;877513.540000000040000;87751354.769999996000000;877513546854.000000000000000;6110024.317769999600000;2014;Sim;Não;1459.956123268810000;741.318311705589960;692.114855965160020;767.701634902889960;58.779910134820000
9;30;B;11;TOCANTINS-ARAGUAIA;918273.160000000030000;91827316.359999999000000;918273162648.000000000000000;8182852.741469999800000;2014;Não;Não;1745.965524665970000;711.569776562570040;668.978543821010020;1076.986907295100100;83.494323819520005
10;31;A;1;AMAZÔNICA;3844917.759999999800000;384491776.630000000000000;3844917762260.000000000000000;17333447.307799999000000;2014;Sim;Sim;2231.808402580130000;1011.799272035680000;938.228087353979960;1293.377419201020100;405.298226156629990
11;36;M;7;PARAGUAI;362263.919999999980000;36226392.950000003000000;362263928437.000000000000000;4019342.739490000100000;2014;Não;Não;1395.295387521500100;670.573123316140030;620.285707867099970;775.457215319279950;23.922964003870000